Country;marketSize Value 2021;marketSize Value 2020;marketSize Value 2019;marketSize Value 2018;marketSize Value 2017;Evolution Value 2021;Evolution Value 2020;Evolution Value 2019;Evolution Value 2018;CAGR SValue;marketSize Volume 2021;marketSize Volume 2020;marketSize Volume 2019;marketSize Volume 2018;marketSize Volume 2017;Evolution Volume 2021;Evolution Volume 2020;Evolution Volume 2019;Evolution Volume 2018;CAGR Volume
Turkey;236926935.0;183302806.0;121338792.0;85949212.0;58016381.0;29.254%;51.067%;41.175%;48.146%;32.499%;3801955166.0;3405929620.0;3123962662.0;3147319815.0;2892672071.0;11.628%;9.026%;-0.742%;8.803%;5.619%
UAE;235916381.0;219392805.0;204168194.0;186988273.0;166090659.0;7.532%;7.457%;9.188%;12.582%;7.271%;316271595.0;319951626.0;300969006.0;286336140.0;263728885.0;-1.150%;6.307%;5.110%;8.572%;3.700%
Saudi Arabia;229432761.0;200348173.0;153562080.0;141449209.0;122345858.0;14.517%;30.467%;8.563%;15.614%;13.400%;851540499.0;719274549.0;560840835.0;586597188.0;570687129.0;18.389%;28.249%;-4.391%;2.788%;8.333%
Russia;163166375.0;152233196.0;132949650.0;114094396.0;91143277.0;7.182%;14.504%;16.526%;25.181%;12.352%;2093384181.0;2041817516.0;1925253333.0;1785753565.0;1552528134.0;2.526%;6.054%;7.812%;15.022%;6.160%
Egypt;126795190.0;121425288.0;106880533.0;81646442.0;65693265.0;4.422%;13.608%;30.907%;24.284%;14.056%;1514823282.0;1528003146.0;1492703511.0;1247187882.0;1289651685.0;-0.863%;2.365%;19.686%;-3.293%;3.271%
Iraq;119547383.0;126053108.0;100068628.0;75506358.0;69108113.0;-5.161%;25.967%;32.530%;9.258%;11.584%;609788205.0;670639990.0;558712039.0;486881844.0;433426154.0;-9.074%;20.033%;14.753%;12.333%;7.066%
Lebanon;46383595.0;37680617.0;36223117.0;38022388.0;33591902.0;23.097%;4.024%;-4.732%;13.189%;6.666%;154003824.0;133129050.0;124128669.0;127130808.0;124537071.0;15.680%;7.251%;-2.361%;2.083%;4.339%
Ukraine;45252281.0;38502342.0;31159542.0;26702996.0;22514874.0;17.531%;23.565%;16.689%;18.602%;14.983%;592725310.0;563204360.0;475182764.0;414669882.0;339376134.0;5.242%;18.524%;14.593%;22.186%;11.798%
South Africa;42677423.0;37671040.0;33454101.0;29018217.0;25872254.0;13.290%;12.605%;15.287%;12.160%;10.528%;519054291.0;483562728.0;468065787.0;459821982.0;446243142.0;7.340%;3.311%;1.793%;3.043%;3.069%
Morocco;35515684.0;33130918.0;28240021.0;27134820.0;24611042.0;7.198%;17.319%;4.073%;10.255%;7.611%;388735326.0;357016082.0;301617468.0;297749834.0;274920370.0;8.885%;18.367%;1.299%;8.304%;7.174%
Algeria;31582382.0;30922999.0;28666445.0;27451809.0;25878813.0;2.132%;7.872%;4.425%;6.078%;4.064%;1057655570.0;1036303694.0;946598158.0;907920416.0;857344674.0;2.060%;9.477%;4.260%;5.899%;4.289%
Tunisia;25769356.0;22683002.0;17881427.0;16170566.0;14598968.0;13.606%;26.852%;10.580%;10.765%;12.036%;304571374.0;259121704.0;201754824.0;201976106.0;192156784.0;17.540%;28.434%;-0.110%;5.110%;9.650%
Jordan;18939565.0;16296614.0;16710945.0;16552324.0;13395995.0;16.218%;-2.479%;0.958%;23.562%;7.171%;88505637.0;77391204.0;86564991.0;95630805.0;82137027.0;14.361%;-10.598%;-9.480%;16.428%;1.505%
Belarus;12253979.0;11406063.0;9988808.0;8793916.0;7890652.0;7.434%;14.188%;13.588%;11.447%;9.203%;253469702.0;248720710.0;223985838.0;204781812.0;190868838.0;1.909%;11.043%;9.378%;7.289%;5.837%
Kazakhstan;4587936.0;4330487.0;3789585.0;3076629.0;2208486.0;5.945%;14.273%;23.173%;39.309%;15.746%;56208564.0;55893908.0;53516784.0;54998550.0;46093196.0;0.563%;4.442%;-2.694%;19.320%;4.048%
Ivory Coast;4080416.0;3472995.0;2828971.0;2601209.0;2357529.0;17.490%;22.765%;8.756%;10.336%;11.596%;32323442.0;29432344.0;23974398.0;21121094.0;19768374.0;9.823%;22.766%;13.509%;6.843%;10.334%
Senegal;3371875.0;3089674.0;2804399.0;2262778.0;2277361.0;9.134%;10.172%;23.936%;-0.640%;8.165%;35723580.0;33066188.0;29988928.0;24039766.0;24635040.0;8.037%;10.261%;24.747%;-2.416%;7.716%
Cameroon;2605788.0;2329682.0;1908429.0;1731964.0;1502158.0;11.852%;22.073%;10.189%;15.298%;11.646%;32522480.0;29927914.0;25820050.0;22411684.0;19676434.0;8.669%;15.910%;15.208%;13.901%;10.573%
Mali;2419002.0;2051260.0;1674670.0;1370269.0;1131595.0;17.928%;22.487%;22.215%;21.092%;16.410%;17276506.0;15719694.0;13207304.0;11445880.0;10036672.0;9.904%;19.023%;15.389%;14.041%;11.474%
