Country;class;marketSize Value 2021;marketSize Value 2020;marketSize Value 2019;marketSize Value 2018;marketSize Value 2017;Evolution Value 2021;Evolution Value 2020;Evolution Value 2019;Evolution Value 2018;CAGR SValue;total MS SValue;marketShare Value;marketSize Volume 2021;marketSize Volume 2020;marketSize Volume 2019;marketSize Volume 2018;marketSize Volume 2017;Evolution Volume 2021;Evolution Volume 2020;Evolution Volume 2019;Evolution Volume 2018;CAGR Volume;total MS SVolume;marketShare Volume
Turkey;X + B;58818182.0;48805679.0;29637986.0;18298753.0;9872476.0;20.515%;64.673%;61.967%;85.351%;42.895%;165433076.0;24.132%;654292854.0;552156800.0;387088138.0;267168110.0;157483136.0;18.498%;42.644%;44.886%;69.649%;32.956%;2018189038.0;12.327%
Turkey;SG;54989926.0;34484732.0;13083439.0;5650421.0;1435909.0;59.462%;163.575%;131.548%;293.508%;107.315%;109644427.0;15.994%;227111642.0;161467370.0;71264338.0;37806582.0;10558324.0;40.655%;126.575%;88.497%;258.074%;84.726%;508208256.0;3.104%
Turkey;B;26702317.0;20748978.0;17130364.0;14672062.0;12356542.0;28.692%;21.124%;16.755%;18.739%;16.662%;91610263.0;13.363%;1645904292.0;1505204120.0;1526210228.0;1603457488.0;1524734540.0;9.348%;-1.376%;-4.818%;5.163%;1.541%;7805510668.0;47.676%
Turkey;X;49278708.0;41320504.0;31521519.0;20830138.0;11284144.0;19.260%;31.087%;51.327%;84.597%;34.288%;154235013.0;22.499%;271827244.0;246521846.0;217771088.0;169768446.0;102886086.0;10.265%;13.202%;28.275%;65.006%;21.447%;1008774710.0;6.162%
Turkey;SL;18591941.0;15734768.0;13187045.0;12389766.0;11210074.0;18.158%;19.320%;6.435%;10.523%;10.648%;71113594.0;10.373%;662634294.0;625426250.0;621542388.0;694936548.0;718456136.0;5.949%;0.625%;-10.561%;-3.274%;-1.605%;3322995616.0;20.297%
Turkey;GT + B;9743020.0;8372091.0;5876805.0;4592806.0;3692710.0;16.375%;42.460%;27.957%;24.375%;21.414%;32277432.0;4.708%;156631830.0;150442620.0;126325290.0;123634590.0;110985000.0;4.114%;19.091%;2.176%;11.398%;7.133%;668019330.0;4.080%
Turkey;GT;8617305.0;7167973.0;5615730.0;4704034.0;4357684.0;20.220%;27.641%;19.381%;7.948%;14.610%;30462726.0;4.444%;85028784.0;80368398.0;74976136.0;75269752.0;78714740.0;5.799%;7.192%;-0.390%;-4.377%;1.555%;394357810.0;2.409%
Turkey;GP;6218692.0;4804169.0;3636249.0;2721634.0;1788097.0;29.444%;32.119%;33.605%;52.208%;28.310%;19168841.0;2.796%;367016.0;313656.0;263946.0;210929.0;159089.0;17.012%;18.833%;25.135%;32.586%;18.198%;1314636.0;0.008%
Turkey;IAG;1972490.0;1795920.0;1492152.0;1281632.0;1297036.0;9.832%;20.358%;16.426%;-1.188%;8.746%;7839230.0;1.144%;77597040.0;80603340.0;86627430.0;95504130.0;108068070.0;-3.730%;-6.954%;-9.295%;-11.626%;-6.410%;448400010.0;2.739%
Turkey;SG + B;1894870.0;0.0;0.0;0.0;0.0;0.000%;0.000%;0.000%;0.000%;0.000%;1894870.0;0.276%;16187820.0;0.0;0.0;0.0;0.0;0.000%;0.000%;0.000%;0.000%;0.000%;16187820.0;0.099%
Turkey;GD + B;99628.0;67461.0;45897.0;54703.0;13010.0;47.682%;46.983%;-16.098%;320.469%;50.252%;280699.0;0.041%;4374540.0;3423420.0;2754180.0;4079880.0;1067220.0;27.783%;24.299%;-32.494%;282.290%;32.598%;15699240.0;0.096%
Turkey;GD;-41.0;4.0;109770.0;753263.0;708699.0;-1125.000%;-99.996%;-85.427%;6.288%;0.000%;1571695.0;0.229%;-2070.0;900.0;9135360.0;75483360.0;79559730.0;-330.000%;-99.990%;-87.898%;-5.124%;0.000%;164177280.0;1.003%
Turkey;X + SG;-103.0;527.0;1836.0;0.0;0.0;-119.545%;-71.296%;0.000%;0.000%;0.000%;2260.0;0.000%;-120.0;900.0;4140.0;0.0;0.0;-113.333%;-78.261%;0.000%;0.000%;0.000%;4920.0;0.000%
UAE;X + B;70784724.0;68552947.0;64511305.0;60503655.0;53893138.0;3.256%;6.265%;6.624%;12.266%;5.604%;318245769.0;31.430%;78511332.0;76426150.0;71839496.0;67970660.0;61190126.0;2.728%;6.385%;5.692%;11.081%;5.111%;355937764.0;23.932%
UAE;GP;48618620.0;43011248.0;42997674.0;39470298.0;33521695.0;13.037%;0.032%;8.937%;17.746%;7.720%;207619535.0;20.504%;628785.0;656802.0;660498.0;596648.0;499073.0;-4.266%;-0.560%;10.701%;19.551%;4.729%;3041806.0;0.205%
UAE;SG;38999177.0;35470978.0;29970955.0;25867343.0;22108995.0;9.947%;18.351%;15.864%;16.999%;12.020%;152417448.0;15.053%;18230832.0;16587758.0;13969928.0;12103914.0;10407106.0;9.905%;18.739%;15.417%;16.304%;11.865%;71299538.0;4.794%
UAE;B;14793166.0;16665209.0;15053988.0;14022723.0;13632184.0;-11.233%;10.703%;7.354%;2.865%;1.648%;74167270.0;7.325%;101722860.0;119136430.0;109465464.0;104873784.0;101551174.0;-14.616%;8.835%;4.378%;3.272%;0.034%;536749712.0;36.090%
UAE;SL;18942687.0;18499437.0;18771819.0;20150389.0;18656559.0;2.396%;-1.451%;-6.841%;8.007%;0.305%;95020891.0;9.384%;47888538.0;45855520.0;45431630.0;48055090.0;44245840.0;4.434%;0.933%;-5.459%;8.609%;1.595%;231476618.0;15.564%
UAE;SG + B;16170452.0;12230890.0;8902575.0;5071175.0;3716922.0;32.210%;37.386%;75.553%;36.435%;34.186%;46092014.0;4.552%;12400740.0;9228390.0;6300000.0;3299550.0;2257020.0;34.376%;46.482%;90.935%;46.191%;40.599%;33485700.0;2.252%
UAE;GT;7180681.0;6404666.0;5788705.0;5827166.0;5908439.0;12.116%;10.641%;-0.660%;-1.376%;3.977%;31109657.0;3.072%;7055220.0;6112252.0;5118062.0;5165064.0;5168288.0;15.428%;19.425%;-0.910%;-0.062%;6.422%;28618886.0;1.924%
UAE;X;10101597.0;10273330.0;10253002.0;9137486.0;8878583.0;-1.672%;0.198%;12.208%;2.916%;2.615%;48643998.0;4.804%;8008918.0;8296584.0;8501732.0;7538434.0;6958156.0;-3.467%;-2.413%;12.778%;8.340%;2.853%;39303824.0;2.643%
UAE;SL + B;7194711.0;6366191.0;6698202.0;6102227.0;4957511.0;13.014%;-4.957%;9.767%;23.091%;7.733%;31318842.0;3.093%;39102960.0;35750550.0;37230120.0;34102680.0;28655970.0;9.377%;-3.974%;9.171%;19.007%;6.414%;174842280.0;11.756%
UAE;X + SG;1790695.0;1032925.0;355662.0;0.0;0.0;73.362%;190.423%;0.000%;0.000%;0.000%;3179282.0;0.314%;555900.0;313230.0;103440.0;0.0;0.0;77.473%;202.813%;0.000%;0.000%;0.000%;972570.0;0.065%
UAE;X + GT;775498.0;425019.0;243178.0;136401.0;76645.0;82.462%;74.777%;78.282%;77.965%;58.862%;1656741.0;0.164%;399672.0;215460.0;123116.0;69216.0;38892.0;85.497%;75.006%;77.872%;77.970%;59.356%;846356.0;0.057%
UAE;GD;444097.0;410097.0;400658.0;440403.0;449459.0;8.291%;2.356%;-9.025%;-2.015%;-0.240%;2144714.0;0.212%;1167600.0;1085940.0;1053630.0;1155450.0;1179840.0;7.520%;3.067%;-8.812%;-2.067%;-0.208%;5642460.0;0.379%
UAE;IAG;105649.0;49868.0;220471.0;259007.0;290529.0;111.857%;-77.381%;-14.878%;-10.850%;-18.316%;925524.0;0.091%;569790.0;286560.0;1171890.0;1405650.0;1577400.0;98.838%;-75.547%;-16.630%;-10.888%;-18.425%;5011290.0;0.337%
UAE;GT + B;14627.0;0.0;0.0;0.0;0.0;0.000%;0.000%;0.000%;0.000%;0.000%;14627.0;0.001%;28448.0;0.0;0.0;0.0;0.0;0.000%;0.000%;0.000%;0.000%;0.000%;28448.0;0.002%
Saudi Arabia;X + B;58257355.0;53780709.0;46497622.0;44008234.0;38916246.0;8.324%;15.663%;5.657%;13.084%;8.404%;241460166.0;28.503%;124134276.0;114443508.0;98509680.0;93095940.0;82292079.0;8.468%;16.175%;5.815%;13.129%;8.569%;512475483.0;15.582%
Saudi Arabia;B;25786312.0;20562316.0;15219405.0;14892174.0;14944202.0;25.406%;35.106%;2.197%;-0.348%;11.528%;91404409.0;10.790%;378260964.0;257918820.0;196593942.0;221650566.0;222043428.0;46.659%;31.194%;-11.305%;-0.177%;11.242%;1276467720.0;38.811%
Saudi Arabia;X;34289068.0;26687077.0;14471469.0;13989867.0;13210378.0;28.486%;84.412%;3.443%;5.901%;21.017%;102647859.0;12.117%;47898399.0;38441490.0;21931773.0;20955066.0;19778307.0;24.601%;75.278%;4.661%;5.950%;19.351%;149005035.0;4.530%
Saudi Arabia;SG;25050549.0;22493912.0;17443697.0;13944160.0;7171602.0;11.366%;28.952%;25.097%;94.436%;28.422%;86103920.0;10.164%;29478531.0;24019878.0;18496146.0;14818767.0;7612419.0;22.726%;29.864%;24.816%;94.666%;31.098%;94425741.0;2.871%
