Country;class;Molecule;marketSize Value 2021;marketSize Value 2020;marketSize Value 2019;marketSize Value 2018;marketSize Value 2017;Evolution Value 2021;Evolution Value 2020;Evolution Value 2019;Evolution Value 2018;CAGR SValue;total MS SValue;marketShare Value;marketSize Volume 2021;marketSize Volume 2020;marketSize Volume 2019;marketSize Volume 2018;marketSize Volume 2017;Evolution Volume 2021;Evolution Volume 2020;Evolution Volume 2019;Evolution Volume 2018;CAGR Volume;total MS SVolume;marketShare Volume;Country;class;marketSize Value 2021;marketSize Value 2020;marketSize Value 2019;marketSize Value 2018;marketSize Value 2017;Evolution Value 2021;Evolution Value 2020;Evolution Value 2019;Evolution Value 2018;CAGR SValue;total MS SValue;marketShare Value;marketSize Volume 2021;marketSize Volume 2020;marketSize Volume 2019;marketSize Volume 2018;marketSize Volume 2017;Evolution Volume 2021;Evolution Volume 2020;Evolution Volume 2019;Evolution Volume 2018;CAGR Volume;total MS SVolume;marketShare Volume;Country;marketSize Value 2021;marketSize Value 2020;marketSize Value 2019;marketSize Value 2018;marketSize Value 2017;Evolution Value 2021;Evolution Value 2020;Evolution Value 2019;Evolution Value 2018;CAGR SValue;marketSize Volume 2021;marketSize Volume 2020;marketSize Volume 2019;marketSize Volume 2018;marketSize Volume 2017;Evolution Volume 2021;Evolution Volume 2020;Evolution Volume 2019;Evolution Volume 2018;CAGR Volume
Turkey;X + B;ME+ VI;29873775.0;25767641.0;15298324.0;9959150.0;5198298.0;15.935%;68.434%;53.611%;91.585%;41.868%;86097188.0;52.044%;349537380.0;292419660.0;200372820.0;142247340.0;81950280.0;19.533%;45.938%;40.862%;73.578%;33.656%;1066527480.0;52.846%;Turkey;X + B;58818182.0;48805679.0;29637986.0;18298753.0;9872476.0;20.515%;64.673%;61.967%;85.351%;42.895%;165433076.0;24.132%;654292854.0;552156800.0;387088138.0;267168110.0;157483136.0;18.498%;42.644%;44.886%;69.649%;32.956%;2018189038.0;12.327%;Turkey;236926935.0;183302806.0;121338792.0;85949212.0;58016381.0;29.254%;51.067%;41.175%;48.146%;32.499%;3801955166.0;3405929620.0;3123962662.0;3147319815.0;2892672071.0;11.628%;9.026%;-0.742%;8.803%;5.619%
Turkey;X + B;ME+ SITA;28944407.0;23038055.0;14339665.0;8325123.0;4643896.0;25.637%;60.660%;72.246%;79.270%;44.190%;79291146.0;0.027%;304755474.0;259737364.0;186715374.0;124698282.0;75113640.0;17.332%;39.109%;49.734%;66.013%;32.326%;951020134.0;0.032%;Turkey;X + B;58818182.0;48805679.0;29637986.0;18298753.0;9872476.0;20.515%;64.673%;61.967%;85.351%;42.895%;165433076.0;24.132%;654292854.0;552156800.0;387088138.0;267168110.0;157483136.0;18.498%;42.644%;44.886%;69.649%;32.956%;2018189038.0;12.327%;Turkey;236926935.0;183302806.0;121338792.0;85949212.0;58016381.0;29.254%;51.067%;41.175%;48.146%;32.499%;3801955166.0;3405929620.0;3123962662.0;3147319815.0;2892672071.0;11.628%;9.026%;-0.742%;8.803%;5.619%
Turkey;X + B;ME+ SAXA;0.0;-17.0;-3.0;14480.0;30282.0;-100.000%;466.667%;-100.021%;-52.183%;-100.000%;44742.0;100.000%;0.0;-224.0;-56.0;222488.0;419216.0;-100.000%;300.000%;-100.025%;-46.928%;-100.000%;641424.0;100.000%;Turkey;X + B;58818182.0;48805679.0;29637986.0;18298753.0;9872476.0;20.515%;64.673%;61.967%;85.351%;42.895%;165433076.0;24.132%;654292854.0;552156800.0;387088138.0;267168110.0;157483136.0;18.498%;42.644%;44.886%;69.649%;32.956%;2018189038.0;12.327%;Turkey;236926935.0;183302806.0;121338792.0;85949212.0;58016381.0;29.254%;51.067%;41.175%;48.146%;32.499%;3801955166.0;3405929620.0;3123962662.0;3147319815.0;2892672071.0;11.628%;9.026%;-0.742%;8.803%;5.619%
Turkey;SG;EMPA;29536265.0;17393456.0;4630894.0;164218.0;0.0;69.813%;275.596%;2719.967%;0.000%;0.000%;51724833.0;47.929%;121916400.0;81213630.0;24450690.0;965190.0;0.0;50.118%;232.153%;2433.251%;0.000%;0.000%;228545910.0;47.122%;Turkey;SG;54989926.0;34484732.0;13083439.0;5650421.0;1435909.0;59.462%;163.575%;131.548%;293.508%;107.315%;109644427.0;15.994%;227111642.0;161467370.0;71264338.0;37806582.0;10558324.0;40.655%;126.575%;88.497%;258.074%;84.726%;508208256.0;3.104%;Turkey;236926935.0;183302806.0;121338792.0;85949212.0;58016381.0;29.254%;51.067%;41.175%;48.146%;32.499%;3801955166.0;3405929620.0;3123962662.0;3147319815.0;2892672071.0;11.628%;9.026%;-0.742%;8.803%;5.619%
Turkey;SG;DAPA;25453661.0;17091276.0;8452545.0;5486203.0;1435909.0;48.928%;102.203%;54.069%;282.072%;77.715%;57919594.0;52.825%;105195242.0;80253740.0;46813648.0;36841392.0;10558324.0;31.078%;71.432%;27.068%;248.932%;58.373%;279662346.0;55.029%;Turkey;SG;54989926.0;34484732.0;13083439.0;5650421.0;1435909.0;59.462%;163.575%;131.548%;293.508%;107.315%;109644427.0;15.994%;227111642.0;161467370.0;71264338.0;37806582.0;10558324.0;40.655%;126.575%;88.497%;258.074%;84.726%;508208256.0;3.104%;Turkey;236926935.0;183302806.0;121338792.0;85949212.0;58016381.0;29.254%;51.067%;41.175%;48.146%;32.499%;3801955166.0;3405929620.0;3123962662.0;3147319815.0;2892672071.0;11.628%;9.026%;-0.742%;8.803%;5.619%
Turkey;B;METF;26702317.0;20748978.0;17130364.0;14672062.0;12356542.0;28.692%;21.124%;16.755%;18.739%;16.662%;91610263.0;47.175%;1645904292.0;1505204120.0;1526210228.0;1603457488.0;1524734540.0;9.348%;-1.376%;-4.818%;5.163%;1.541%;7805510668.0;44.971%;Turkey;B;26702317.0;20748978.0;17130364.0;14672062.0;12356542.0;28.692%;21.124%;16.755%;18.739%;16.662%;91610263.0;13.363%;1645904292.0;1505204120.0;1526210228.0;1603457488.0;1524734540.0;9.348%;-1.376%;-4.818%;5.163%;1.541%;7805510668.0;47.676%;Turkey;236926935.0;183302806.0;121338792.0;85949212.0;58016381.0;29.254%;51.067%;41.175%;48.146%;32.499%;3801955166.0;3405929620.0;3123962662.0;3147319815.0;2892672071.0;11.628%;9.026%;-0.742%;8.803%;5.619%
Turkey;X;LINA;25286518.0;19137072.0;12224856.0;6564002.0;1857067.0;32.134%;56.542%;86.241%;253.461%;68.582%;65069515.0;100.000%;107117580.0;91811010.0;69643080.0;44800050.0;13802070.0;16.672%;31.831%;55.453%;224.589%;50.655%;327173790.0;100.000%;Turkey;X;49278708.0;41320504.0;31521519.0;20830138.0;11284144.0;19.260%;31.087%;51.327%;84.597%;34.288%;154235013.0;22.499%;271827244.0;246521846.0;217771088.0;169768446.0;102886086.0;10.265%;13.202%;28.275%;65.006%;21.447%;1008774710.0;6.162%;Turkey;236926935.0;183302806.0;121338792.0;85949212.0;58016381.0;29.254%;51.067%;41.175%;48.146%;32.499%;3801955166.0;3405929620.0;3123962662.0;3147319815.0;2892672071.0;11.628%;9.026%;-0.742%;8.803%;5.619%
Turkey;X;SITA;11048501.0;10066775.0;7975128.0;6452517.0;4857810.0;9.752%;26.227%;23.597%;32.828%;17.862%;40400731.0;26.194%;61144608.0;59308256.0;54359620.0;49793884.0;40015752.0;3.096%;9.104%;9.169%;24.436%;8.849%;264622120.0;26.232%;Turkey;X;49278708.0;41320504.0;31521519.0;20830138.0;11284144.0;19.260%;31.087%;51.327%;84.597%;34.288%;154235013.0;22.499%;271827244.0;246521846.0;217771088.0;169768446.0;102886086.0;10.265%;13.202%;28.275%;65.006%;21.447%;1008774710.0;6.162%;Turkey;236926935.0;183302806.0;121338792.0;85949212.0;58016381.0;29.254%;51.067%;41.175%;48.146%;32.499%;3801955166.0;3405929620.0;3123962662.0;3147319815.0;2892672071.0;11.628%;9.026%;-0.742%;8.803%;5.619%
Turkey;X;VILD;8764688.0;7746296.0;7370701.0;4826620.0;2972838.0;13.147%;5.096%;52.709%;62.357%;24.140%;31681143.0;11.076%;84945784.0;73262784.0;69959232.0;54518576.0;37597000.0;15.947%;4.722%;28.322%;45.008%;17.706%;320283376.0;9.585%;Turkey;X;49278708.0;41320504.0;31521519.0;20830138.0;11284144.0;19.260%;31.087%;51.327%;84.597%;34.288%;154235013.0;22.499%;271827244.0;246521846.0;217771088.0;169768446.0;102886086.0;10.265%;13.202%;28.275%;65.006%;21.447%;1008774710.0;6.162%;Turkey;236926935.0;183302806.0;121338792.0;85949212.0;58016381.0;29.254%;51.067%;41.175%;48.146%;32.499%;3801955166.0;3405929620.0;3123962662.0;3147319815.0;2892672071.0;11.628%;9.026%;-0.742%;8.803%;5.619%
Turkey;X;SAXA;4179001.0;4370361.0;3950834.0;2986999.0;1596429.0;-4.379%;10.619%;32.268%;87.105%;21.223%;17083624.0;13.444%;18619272.0;22139796.0;23809156.0;20655936.0;11471264.0;-15.901%;-7.011%;15.265%;80.067%;10.172%;96695424.0;9.316%;Turkey;X;49278708.0;41320504.0;31521519.0;20830138.0;11284144.0;19.260%;31.087%;51.327%;84.597%;34.288%;154235013.0;22.499%;271827244.0;246521846.0;217771088.0;169768446.0;102886086.0;10.265%;13.202%;28.275%;65.006%;21.447%;1008774710.0;6.162%;Turkey;236926935.0;183302806.0;121338792.0;85949212.0;58016381.0;29.254%;51.067%;41.175%;48.146%;32.499%;3801955166.0;3405929620.0;3123962662.0;3147319815.0;2892672071.0;11.628%;9.026%;-0.742%;8.803%;5.619%
